1	2	5556
3	1	8336
1	5	10645
2	5	5089
4	5	13417
0	5	15420
5	0	0
5	0	0
1	2	0
4	2	2772
5	1	4775
0	5	0
0	4	2003
0	5	0
1	5	0
5	2	2003
2	0	0
3	4	7084
0	4	0
4	5	0
2	0	0
5	0	0
5	1	0
3	4	0
0	1	0
5	0	0
1	4	0
4	0	0
1	2	0
0	5	0
2	1	0
0	2	0
1	5	0
2	3	0
4	5	0
2	1	0
1	0	0
2	3	0
2	4	0
2	5	0
1	0	0
3	5	0
4	1	0
5	3	0
4	1	0
4	2	0
2	5	0
4	3	0
1	5	0
2	5	0
5	4	0
5	3	0
4	2	0
0	2	0
3	2	0
3	0	0
2	5	0
3	5	0
3	5	0
4	0	0
0	5	0
0	1	0
4	1	0
2	4	0
5	4	0
4	2	0
0	5	0
3	4	0
3	5	0
5	0	0
0	3	0
5	0	0
3	4	0
1	4	0
2	5	0
5	0	0
3	5	0
1	2	0
1	4	0
5	2	0
5	3	0
2	3	0
3	5	0
0	1	0
2	4	0
0	4	0
2	1	0
4	3	0
5	2	0
1	3	0
1	4	0
5	1	0
1	2	0
3	1	0
4	5	0
4	2	0
4	1	0
0	5	0
5	0	0
3	1	0
4	5	0
5	4	0
3	5	0
1	3	0
4	5	0
1	5	0
4	2	0
1	5	0
2	1	0
3	4	0
3	0	0
0	3	0
1	5	0
3	2	0
1	3	0
3	0	0
4	2	0
5	4	0
0	2	0
5	1	0
4	3	0
0	3	0
4	5	0
4	3	0
2	1	0
1	4	0
5	4	0
3	2	0
3	2	0
2	1	0
2	3	0
5	2	0
2	1	0
5	1	0
2	0	0
4	2	0
3	5	0
3	4	0
0	4	0
4	1	0
3	5	0
2	0	0
0	2	0
1	0	0
2	1	0
3	2	0
0	1	0
1	2	0
2	4	0
5	3	0
0	1	0
3	5	0
1	4	0
4	2	0
3	5	0
2	3	0
4	5	0
4	5	0
3	5	0
2	4	0
2	0	0
3	0	0
0	1	0
5	3	0
5	4	0
2	5	0
0	2	0
5	3	0
3	0	0
1	4	0
5	0	0
1	0	0
1	0	0
5	1	0
2	4	0
5	3	0
2	1	0
2	1	0
5	1	0
3	1	0
3	1	0
4	0	0
3	5	0
5	1	0
4	2	0
4	5	0
5	3	0
5	3	0
4	1	0
4	0	0
5	3	0
1	0	0
1	3	0
4	5	0
2	4	0
4	1	0
5	3	0
1	5	0
4	3	0
0	2	0
0	3	0
2	1	0
2	4	0
1	0	0
4	2	0
1	0	0
2	4	0
5	4	0
3	1	0
4	5	0
1	4	0
0	5	0
0	3	0
4	1	0
3	1	0
5	4	0
3	2	0
2	0	0
2	3	0
2	4	0
3	5	0
3	0	0
2	1	0
4	5	0
3	4	0
0	1	0
4	2	0
4	1	0
0	3	0
3	1	0
0	4	0
2	1	0
3	2	0
3	1	0
0	5	0
4	5	0
1	4	0
4	2	0
3	0	0
0	3	0
0	4	0
3	1	0
0	1	0
5	3	0
3	1	0
3	1	0
